code,clinic,clinic_type,area,"Lat, Long",,,,,,,
AAA,ATHLONE,Residential,CT,"-33.96426417562512, 18.504399798674445",,,,,,,
AAB,PLUMSTEAD HIGH ,School,CT,"-34.0210111247128, 18.485117212142733",,,,,,,
AAC,FISH HOEK HIGH ,School,CT,"-34.13470145360041, 18.42062303154608",,,,,,,
AAD,BERGVLIET,Residential,CT,"-34.04796173855656, 18.456105752285456",,,,,,,
AAE,RCS,Commercial,CT,"-33.9471236699584, 18.49109159530554",,,,,,,
AAF,WYNBERG  BOYS HIGH ,School,CT,"-33.99525527126326, 18.45828285482819",,,,,,,
AAJ,DIRECT AXIS,Commercial,CT,"-34.03749465040513, 18.476662897158455",,,,,,,
AAL,FISH HOEK,Residential,CT,"-34.1336653006736, 18.421758765732765",,,,,,,
AAO,GROOTE SCHUUR HOSPITAL,Hospital,CT,"-33.94085573387065, 18.46176141534255",,,,,,,
AAP,BERGVLIET HIGH ,School,CT,"-34.04040989469333, 18.45218837626764",,,,,,,
AAQ,GROOTE SCHUUR HIGH ,School,CT,"-33.973486015166905, 18.4721072701699",,,,,,,
AAR,MILNERTON,Residential,CT,"-33.86594286578147, 18.533816115865488",,,,,,,
AAV,BAYSIDE MALL,Shopping,CT,"-33.822328675803725, 18.48971406831482",,,,,,,
AAW,PINELANDS,Residential,CT,"-33.93350674154906, 18.509265903710993",,,,,,,
AAX,PLUMSTEAD,Residential,CT,"-34.026347359762596, 18.480467830876247",,,,,,,
AAY,GRASSY PARK,Residential,CT,"-34.04791195988233, 18.506614823631587",,,,,,,
AAZ,RONDEBOSCH,Residential,CT,"-33.963494297128754, 18.47595127388969",,,,,,,
ABA,SEA POINT,Residential,CT,"-33.91690219676274, 18.387470509701988",,,,,,,
ABC,WYNBERG GIRLS HIGH ,School,CT,"-34.00242887495513, 18.464980454828467",,,,,,,
ABF,HOUT BAY,Residential,CT,"-34.039278897451034, 18.34999660325481",,,,,,,
ABJ,ISLAMIA COLLEGE,School,CT,"-33.98559804714526, 18.498416712499054",,,,,,,
ABK,HQ PICK N PAY,Commercial,CT,"-33.995885526419244, 18.479562953829525",,,,,,,
ABS,SPINE ROAD HIGH ,School,CT,"-34.05993970118863, 18.620496771164362",,,,,,,
ABV,BOTHASIG,Residential,CT,"-33.86153189767178, 18.5415671268176",,,,,,,
ABW,ALLAN GRAY,Commercial,CT,"-33.90766956688558, 18.422424868318053",,,,,,,
ABX,TABLEVIEW DR CHURCH,Residential,CT,"-33.82934827495588, 18.494570016451334",,,,,,,
ABY,KENSINGTON,Residential,CT,"-33.912173909566924, 18.507022837093025",,,,,,,
ACA,YOUNGSFIELD MILITARY,Commercial,CT,"-34.00206757990004, 18.494491968321498",,,,,,,
ACB,JAN VAN RIEBEECK HIGH ,School,CT,"-33.933405844995086, 18.408186854825903",,,,,,,
ACE,HERZLIA HIGH ,School,CT,"-33.94252556275811, 18.42159782599063",,,,,,,
ACN,WESTRIDGE,Residential,CT,"-34.05172692168025, 18.602693990681914",,,,,,,
ACO,SACAP,Tertiary,CT,"-33.97815182921861, 18.46365126832067",,,,,,,
ACT,STRANDFONTEIN,Residential,CT,"-34.07774290622394, 18.571799727094348",,,,,,,
ACU,HERSCHEL GIRLS SCH,School,CT,"-33.98757325050808, 18.4629536",,,,,,,
ACX,MELKBOSSTRAND,Residential,CT,"-33.71930888888899, 18.45459269889359",,,,,,,
ADA,DARUL ISLAMIC BOYS CAMPUS,School,CT,"-33.97763880735249, 18.54048648469806",,,,,,,
ADC,RUSTENBURG GIRLS,School,CT,"-33.95650456913764, 18.4785662",,,,,,,
ADD,MULTI MECH,Commercial,CT,"-33.929917940357406, 18.56484739731191",,,,,,,
ADE,SIGMA RETREAT,Commercial,CT,"-34.069016248913485, 18.462621997317058",,,,,,,
ADG,MONTE VISTA,Residential,CT,"-33.881624684591756, 18.55510742547937",,,,,,,
ADJ,CLAREMONT,Residential,CT,"-33.98601561044018, 18.472613577506102",,,,,,,
ADK,WYNBERG,Residential,CT,"-34.008408366470476, 18.466173866395355",,,,,,,
ADU,MUTUAL PARK,Commercial,CT,"-33.922753419616946, 18.514210754984163",,,,,,,
ADX,SPORT SCIENCE INSTITUTE,Commercial,CT,"-33.971638426720304, 18.467865297313338",,,,,,,
ADY,AMERICAN INTERNATIONAL ,School,CT,"-34.048696157231134, 18.439321314116775",,,,,,,
AEA,UNIVERSITY OF CAPE TOWN,Tertiary,CT,"-33.95748289126179, 18.461220554985534",,,,,,,
AEB,UCT HEALTH SCIENCE,Tertiary,CT,"-33.94214575822609, 18.46505796847594",,,,,,,
AEC,BIKER BLOOD RUN,Commercial,CT,,,,,,,,
AEJ,RONDEBOSCH BOYS HIGH ,School,CT,"-33.967472405005815, 18.476566255818526",,,,,,,
AEK,VANGUARD ESTATE,Residential,CT,"-33.96904904588921, 18.54832816360751",,,,,,,
AEL,MILITARY HOSPITAL,Hospital,CT,"-34.00444059395351, 18.454714062209412",,,,,,,
AEP,PARKLANDS COLLEGE,School,CT,"-33.79829643398306, 18.504652427997257",,,,,,,
AES,LANSDOWNE SAVIO HALL,Residential,CT,"-33.985328731122344, 18.491663897313952",,,,,,,
AFB,HOME CHOICE,Commercial,CT,"-34.00481727945641, 18.46889268382354",,,,,,,
AFF,STBB CAPE TOWN,Commercial,CT,"-33.92087472988389, 18.423811274355494",,,,,,,
AFG,MEDICLINIC CONSTANTIABERG,Hospital,CT,"-34.027098236471005, 18.461947513491122",,,,,,,
AFN,WCBS HQ PINELANDS,Fixed,CT,"-33.9307493858359, 18.48785176473737",,,,,,,
AFK,WEMBLY SQUARE,Shopping,CT,"-33.93261675831627, 18.421960101348873",,,,,,,
AFL,BELHAR,Residential,CT,"-33.94583102697362, 18.632432718909367",,,,,,,
AKD,KOEBERG,Commercial,CT,"-33.6720984156691, 18.432671673118215",,,,,,,
AKH,BISHOPS,School,CT,"-33.961785112630615, 18.47789561091653",,,,,,,
AKL,LIVINGSTON HIGH,School,CT,"-33.98414743421413, 18.4748405",,,,,,,
AKN,LIFE VINCENT PALLOTTI,Hospital,CT,"-33.94434356765984, 18.489961283821245",,,,,,,
AKY,CPUT DISTRICT SIX,Tertiary,CT,"-33.9310032177211, 18.431713549987588",,,,,,,
ALP,PROMENADE,Shopping,CT,"-33.952232798629375, 18.37763151156425",,,,,,,
AMM,PINELANDS HIGH,School,CT,"-33.93614652886384, 18.507071713491122",,,,,,,
AMR,SURREY ESTATE,Residential,CT,"-33.974898329823304, 18.543433899786244",,,,,,,
AMS,CAMPS BAY HIGH,School,CT,"-33.94304956313875, 18.377642868476144",,,,,,,
AMT,WESTERFORD HIGH,School,CT,"-33.968666304973105, 18.465594524295508",,,,,,,
AMX,STANDARD BANK,Commercial,CT,"-33.91947026998986, 18.426880942327408",,,,,,,
AOB,EDGEMEAD,Residential,CT,"-33.87271807797056, 18.542955648365442",,,,,,,
AOR,GERMAN INTERNATIONAL ,School,CT,"-33.929411283767266, 18.39901524047335",,,,,,,
AOS,MILNERTON HIGH,School,CT,"-33.87084391930889, 18.497800958690345",,,,,,,
AOU,FALSE BAY COLLEGE,Tertiary,CT,"-34.06217806558251, 18.600881678817817",,,,,,,
APB,OUDEMOLEN HIGH,School,CT,"-33.92479398473253, 18.50384322883629",,,,,,,
APG ,COSAT HIGH,School,CT,"-34.05078500177804, 18.66214283964377",,,,,,,
APZ,SACS,School,CT,"-33.97106822970414, 18.4580207",,,,,,,
ASQ,LONGBEACH MALL,Shopping,CT,"-34.123835222506294, 18.388153797319067",,,,,,,
ASR,DIGIEOUTSOURCE,Commercial,CT,"-33.88672211220389, 18.51955161265544",,,,,,,
AST,KENSINGTON HIGH,School,CT,"-33.90736290370358, 18.50676185749472",,,,,,,
ASU,ACHIEVER GROUP,Commercial,CT,"-33.960344784400384, 18.46950618011378",,,,,,,
ASW,WESTGATE MALL,Shopping,CT,"-34.04207462164333, 18.586596399999998",,,,,,,
ASX,SPRINGFIELD HIGH,School,CT,"-34.002001336007254, 18.458762883823454",,,,,,,
ATC,CBC ST JOHNS,Commercial,CT,"-33.80900282608484, 18.510616147421487",,,,,,,
ATF,CONSTANTIA VILLAGE,Shopping,CT,"-34.02213265523616, 18.444518210066363",,,,,,,
ATG,V&A WATERFRONT,Commercial,CT,"-33.90564581539877, 18.419232267435167",,,,,,,
ATK,MUIZENBERG HIGH,School,CT,"-34.098071573134945, 18.477393339645502",,,,,,,
ATO,STBB CLAREMONT,Commercial,CT,"-33.981096438194804, 18.464696526150103",,,,,,,
ATR,TAKEALOT CENTRAL OFFICE,Commercial,CT,"-33.91819382894051, 18.428411695978607",,,,,,,
ATZ,CAPE TOWN HIGH,School,CT,"-33.931783133466666, 18.414976215345177",,,,,,,
AUA,SMILE FM,Commercial,CT,"-33.9177684577539, 18.425642541090216",,,,,,,
AUB,MAYNARD MALL,Shopping,CT,"-34.002942270206475, 18.470607554987243",,,,,,,
AUD,GLENDALE SECONDARY,School,CT,"-34.06853564691239, 18.609021212667685",,,,,,,
AUE,WOOLWORTHS SUPPLY,Commercial,CT,"-33.92507120931363, 18.423630444869126",,,,,,,
AUH,CLAREMONT HIGH,School,CT,"-33.98801914660223, 18.468919732604228",,,,,,,
AUM,ZWAANSWYK HIGH,School,CT,"-34.05978807451084, 18.45862636661007",,,,,,,
AUN,GARDENS COMMERCIAL HIGH,School,CT,"-33.930245812431025, 18.415829327052776",,,,,,,
AUR,CEDAR HOUSE,School,CT,"-33.998583230412, 18.477821657822684",,,,,,,
AUS,SOUTH PENINSULA HIGH,School,CT,"-34.0294897179869, 18.46226169255947",,,,,,,
AUW,OCEANVIEW HIGH,School,CT,"-34.14926307838543, 18.34959265499266",,,,,,,
AUX,NORMAN HENSILWOOD,School,CT,"-34.01518078652333, 18.458439027580724",,,,,,,
AUZ,HOWARD CENTRE,Shopping,CT,"-33.933230719104515, 18.510884199999996",,,,,,,
AVA,MITCHELLS PLAIN HOSP,Hospital,CT,"-34.02155521100845, 18.613661739642673",,,,,,,
AVD,VOORTEKKER HIGH,School,CT,"-33.99926789051912, 18.471248800530773",,,,,,,
AVF  ,QUEENS PARK HIGH ,School,CT,"-33.93502182273622, 18.452940286133995",,,,,,,
AVN ,MOWBRAY TOWN HALL,Residential,CT,"-33.94903670032687, 18.471050204281404",,,,,,,
AVP,REDDAM HOUSE,School,CT,"-34.07672335077902, 18.432744557672592",,,,,,,
AVQ,SAN SOUCI,School,CT,"-33.975967991804815, 18.46244586930964",,,,,,,
AVR,INT SCHOOL WYNBERG,School,CT,"-33.99231133222868, 18.456005513149066",,,,,,,
AVT,WOODSTOCK QUARTERS,Commercial,CT,"-33.927741565656504, 18.443018742715232",,,,,,,
AVV,DE ZICHT ESTATE,Residential,CT,"-33.82750222786084, 18.54580072583348",,,,,,,
AVW,GENERATION SCHOOL,School,CT,"-33.797513696464264, 18.489804693895955",,,,,,,
AVY,HOUT BAY INTERNATIONAL,School,CT,"-34.03402242482023, 18.355772657672592",,,,,,,
AWD,MOORE CAPE TOWN,Commercial,CT,"-33.91634960957603, 18.48345115498389",,,,,,,
AWE,FAIRCAPE GROUP,Commercial,CT,"-33.97741192395197, 18.462128811860456",,,,,,,
AWF,PRIMEDIA,Commercial,CT,"-33.91275918582353, 18.41622949157662",,,,,,,
AWG,NEW ERA,Hospital,CT,"-33.91914470869923, 18.432538528836293",,,,,,,
AWI,ROAMWORK,Commercial,CT,"-33.928135462580364, 18.423666090566183",,,,,,,
AWJ,SHELL TARONGA MOTORS,Commercial,CT,"-33.9737517872549, 18.5035348250779",,,,,,,
AWO,COLLEGE OF CAPE TOWN ATHLONE,Tertiary,CT,"-33.95967850964194, 18.509884164802532",,,,,,,
AWP,SIGMA DIEP RIVER,Commercial,CT,"-34.069026291133795, 18.462621403978442",,,,,,,
AWS,OCTOTEL,Commercial,CT,"-33.92084843867363, 18.383195433163024",,,,,,,
AWT,CHRISTEL HOUSE,School,CT,"-34.01095285793325, 18.51399977002784",,,,,,,
AWU,ITC BUSINESS ADMIN,Commercial,CT,"-33.91886019233893, 18.423500218175064",,,,,,,
AWV,SUIDOORSTER,Commercial,CT,,,,,,,,
AWW,ELKANAH HOUSE HIGH,School,CT,"-33.80187266244789, 18.486366977115203",,,,,,,
AWX,DISCOVERY,Commercial,CT,"-33.89571288115665, 18.50339615767259",,,,,,,
AWY,CORONATION FUND,Commercial,CT,"-33.977247797292286, 18.464923268477325",,,,,,,
AXA,SHINCHEONJI,Commercial,CT,"-33.89448204417057, 18.54544040708796",,,,,,,
AXZ,SAMRC,Commercial,CT,"-33.91620653228704, 18.604435786799034",,,,,,,
CA,NERINA,Tertiary,Paarl,,,,,,,,
CA (needs new code),ELANDSFONTEIN MINE ,Commercial,Paarl,"-33.02164886597996, 18.264882257672586",,,,,,,
CAA,CITRUSDAL,Residential,Paarl,"-32.58911645957277, 19.01195424346629",,,,,,,
CAB,VREDENDAL,Residential,Paarl,"-31.63911954701489, 18.528483495222382",,,,,,,
CAD,ADAM TAS DISTELL,Commercial,Paarl,"-33.9444355004689, 18.839363656265256",,,,,,,
CAF,MALMESBURY,Residential,Paarl,"-33.46547452795964, 18.71862241512352",,,,,,,
CAH,MOORREESBURG,Residential,Paarl,"-33.14529426898702, 18.668716805971947",,,,,,,
CAI,LUTZVILLE,Residential,Paarl,"-31.55310847024801, 18.34704510045475",,,,,,,
CAJ,PIKETBERG,Residential,Paarl,"-32.90474082445539, 18.765519886161155",,,,,,,
CAL,PORTERVILLE,Residential,Paarl,"-33.018336286351655, 18.9944546368802",,,,,,,
CAN,STELLENBOSCH TOWN,Residential,Paarl,"-33.932139426013194, 18.86035838565774",,,,,,,
CAQ,VREDENBURG,Residential,Paarl,"-32.91277295262379, 17.994340811679937",,,,,,,
CAU,BOLAND DRUKPERS,Commercial,Paarl,"-33.642343597861824, 18.991108834465976",,,,,,,
CAY,SOMERSET MALL,Shopping,Paarl,"-34.08296814296496, 18.823407555268396",,,,,,,
CAZ,SALDANHA TOWN,Residential,Paarl,"-33.008811984718825, 17.94225759901081",,,,,,,
CBB,CLANWILLIAM,Residential,Paarl,"-32.19753448666515, 18.896089195362723",,,,,,,
CBD,LANGEBAAN,Residential,Paarl,"-33.05461401296205, 18.064175794400935",,,,,,,
CBG,UNIVERSITY OF STELLENBOSCH,Tertiary,Paarl,"-33.932797273697034, 18.864444861338256",,,,,,,
CBJ,PAARL TOWN,Residential,Paarl,"-33.734267762288674, 18.96202195124013",,,,,,,
CBK,GORDONS BAY,Residential,Paarl,"-34.15109136309106, 18.872789466835403",,,,,,,
CBL,RIEBEECK WES,Residential,Paarl,"-33.34731821415379, 18.86790239740982",,,,,,,
CBP,STELLENBOSCH HIGH,School,Paarl,"-33.93126361440965, 18.87968067255431",,,,,,,
CBQ,PAUL ROOS GIMNASIUM,School,Paarl,"-33.94187721783915, 18.861404795886475",,,,,,,
CBS,DARLING,Residential,Paarl,"-33.37555957688735, 18.38566395755324",,,,,,,
CBT,WELLINGTON TOWN,Residential,Paarl,"-33.64043973978045, 19.00956663682273",,,,,,,
CBY,MIXTELEMATIC,Commercial,Paarl,"-33.97915669935558, 18.84149361754334",,,,,,,
CBZ,DISTELL,Commercial,Paarl,"-33.735772741111994, 18.97441177118817",,,,,,,
CCB,SOMERSET WEST,Residential,Paarl,"-34.075688997036664, 18.843251919448313",,,,,,,
CCC,STRAND,Residential,Paarl,"-34.11232881384233, 18.849176205772704",,,,,,,
CCF,RDM MACASSAR,Commercial,Paarl,"-34.06540070071562, 18.777442467200053",,,,,,,
CCG,PAARL GYM HIGH,School,Paarl,"-33.72022827356314, 18.959769584474564",,,,,,,
CCI,LAMBERTSBAAI,Residential,Paarl,"-32.093254693115085, 18.304378013327533",,,,,,,
CCT,FRANSCHHOEK,Residential,Paarl,"-33.90639882275605, 19.122815446038707",,,,,,,
CCX,AVONDALE,Residential,Paarl,"-33.76609561475904, 18.998359967533798",,,,,,,
CDF,TECHNO PARK,Commercial,Paarl,"-33.96485495317097, 18.838814313521095",,,,,,,
CDR,LANGEBAANWEG,Commercial,Paarl,"-32.97190511475499, 18.156855134820223",,,,,,,
CDT,HOPEFIELD,Residential,Paarl,"-33.0284228019039, 18.31510082649612",,,,,,,
CDU,LAERSKOOL DE HOOP,School,Paarl,"-34.06929944215367, 18.83712189476764",,,,,,,
CDY,CAPITEC BANK,Commercial,Paarl,,,,,,,,
